Date,Nuttin' Better - R,Banana's A Whey - R,Ripped Berry - R,Strawberry Storm - R,High Impact Acai - R,Mind Over Matcha - R,Pomegranate Punch - R,Tropical Tornado - R,Strawberry Sunshine - R,Strawberry Sunshine - S,Mango Hurricane - R,Tropical Tornado - S,Very Berry - S,Mango Hurricane - S,Very Berry - R,Funky Monkey - R,Pineapple Freeze - R,Berry Cream Sensation - S,Canadian Colada - R,Funky Monkey - S,Pineapple Freeze - S,Berry Cream Sensation - R,Tropi-Kale - R,Coco Crush - R,Tropi-Kale - S,Spinach is in it - S,Spinach is in it - R,Lemon Berry - R,Energy Booster,Power Booster,Warrior Booster,Wilderness Booster,Brazilian Thunder - R,Pomegranate Passion - S,Brazilian Thunder - S,Matcha Monsoon - S,Pomegranate Passion - R,Matcha Monsoon - R,Booster Ball (2),Booster Ball (1),Booster Ball (4),Booster Ball (3),Lemon & Ginger Shot - D,Chocolate Chip - Booster Ball,Oatmeal Coconut - Booster Ball,"""Protein & Co"" Bar",Drink - Bottled Water - 500 ml,Chipotle Chicken Wrap,Chipotle Chicken Panini,Chicken Quesadilla,Pesto Chicken Panini,Matcha On My Mind Blend,Canadian Colada - S,Coco Crush - S,Lemon Berry - S,Density Booster,Lemon & Ginger Shot - S,Raspberry Rapture - S,Banango Burst - R
2024-01-10,15,16,13,10,13,10,4,10,8,9,33,5,6,19,17,10,2,1,2,4,1,2,6,2,6,5,7,5,15,6,11,1,4,4,0,3,8,2,5,1,0,2,0,7,6,2,2,3,2,4,3,1,1,3,2,4,1,0,0
2024-01-11,24,14,17,19,14,9,3,16,19,9,18,3,4,7,13,5,1,0,5,6,1,2,9,0,6,7,5,4,23,5,10,3,5,0,3,4,7,2,5,5,0,4,1,6,11,1,2,3,3,4,2,1,2,2,1,6,3,0,1
2024-01-12,17,9,9,11,8,7,2,16,17,3,30,3,6,7,7,6,1,3,1,6,0,3,14,0,5,2,6,3,19,6,12,1,7,3,2,3,13,5,6,5,3,2,0,4,16,0,7,3,1,2,0,0,3,3,1,4,1,0,0
2024-01-13,5,5,5,8,5,6,7,9,15,13,24,3,4,7,7,8,2,0,1,3,1,3,4,2,4,3,2,2,10,0,3,2,6,3,5,6,1,2,1,3,1,1,0,5,3,1,1,1,1,1,2,0,2,1,0,3,0,0,0
2024-01-14,6,4,10,5,3,1,1,6,13,6,18,2,6,11,3,3,8,1,2,3,0,2,7,0,5,0,4,0,13,5,4,1,3,6,2,1,2,0,3,2,0,0,0,2,6,0,3,0,1,2,0,0,0,0,0,1,0,0,0
2024-01-15,21,18,14,16,10,5,6,10,12,6,28,6,4,11,6,6,1,0,5,2,0,3,5,0,5,2,4,4,19,8,9,3,6,0,1,3,5,3,5,0,1,3,0,10,3,1,3,4,3,1,1,1,0,0,1,4,1,0,0
2024-01-16,19,16,13,20,5,8,3,11,14,9,21,8,4,10,11,8,2,3,1,3,1,2,6,1,3,0,3,3,20,2,9,2,4,3,1,2,7,8,6,4,0,1,0,7,11,0,8,2,4,4,1,0,2,0,2,5,1,0,0
2024-01-17,2,18,28,13,18,9,5,14,15,8,22,3,4,9,20,7,7,1,3,6,1,1,6,1,7,2,5,5,26,7,13,1,5,3,4,3,3,1,8,2,0,7,1,9,13,1,1,3,2,3,2,0,2,2,2,2,0,0,0
2024-01-18,16,16,26,19,5,10,10,13,24,11,28,3,7,12,6,5,1,2,10,3,3,3,6,0,5,4,6,3,27,6,10,2,6,2,1,6,12,2,6,4,1,5,1,10,17,0,5,9,3,4,3,0,1,0,3,2,1,0,0
2024-01-19,23,8,15,10,11,13,5,8,13,7,25,6,6,4,14,8,2,0,3,4,1,2,13,0,6,1,3,3,27,8,12,2,8,1,2,3,2,4,7,3,5,5,0,15,21,0,5,5,3,3,1,1,2,0,1,10,1,0,0
2024-01-20,12,5,7,4,6,7,6,18,13,15,15,0,4,5,3,8,0,1,5,6,0,2,5,1,2,2,6,1,19,2,10,0,2,0,0,1,3,2,1,3,0,2,0,3,4,0,2,0,1,0,0,0,0,1,0,4,0,0,0
2024-01-21,6,4,5,6,4,4,5,4,10,7,23,2,3,12,3,5,1,0,4,0,3,4,8,0,0,0,1,5,18,0,6,3,4,3,4,0,4,3,2,2,1,1,0,8,1,1,2,0,1,0,0,0,0,0,2,2,0,0,0
2024-01-22,17,8,5,3,12,4,0,6,3,6,4,4,1,0,0,11,2,1,0,0,0,0,3,2,1,0,0,2,18,6,2,2,1,1,0,0,0,0,5,5,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-23,25,21,22,22,11,8,8,8,18,6,24,6,6,10,14,7,2,2,1,8,1,4,8,2,4,1,10,2,20,12,5,1,7,4,0,3,5,4,5,10,2,3,0,11,7,1,1,4,2,0,1,0,4,2,0,2,0,0,0
2024-01-24,17,26,16,11,18,21,4,13,23,6,24,7,8,14,8,9,1,2,3,1,0,6,9,0,6,2,3,3,27,11,12,0,7,3,1,1,8,4,8,8,2,0,1,16,9,1,6,3,2,6,2,0,0,0,4,5,0,0,3
2024-01-25,17,20,21,16,14,11,11,16,19,13,38,4,11,20,12,12,2,2,5,3,0,0,11,1,10,3,8,7,27,8,7,3,8,4,2,2,9,4,7,7,1,6,0,4,17,1,2,6,4,4,2,1,1,0,1,3,1,0,1
2024-01-26,18,10,13,7,10,10,7,11,23,15,19,8,12,10,6,8,6,2,7,4,2,3,8,1,3,5,5,2,17,6,8,1,10,5,2,3,6,6,5,6,1,2,2,6,6,0,4,3,1,0,2,0,4,1,4,3,0,0,1
2024-01-27,10,9,11,8,8,12,2,8,22,12,24,6,2,8,6,2,3,2,3,7,1,2,8,0,3,1,2,2,14,3,9,1,7,4,5,2,6,2,6,2,1,2,3,6,6,0,5,0,0,2,1,1,0,0,1,2,0,0,0
2024-01-28,8,10,6,5,6,10,5,10,13,2,13,3,4,7,8,2,2,0,3,1,1,0,5,0,4,0,2,4,9,1,2,0,3,3,2,2,3,2,4,1,0,1,2,4,2,0,4,0,0,0,0,0,1,1,1,2,1,0,2
